#1.3									
1170	6	3	2						
1ng/ml BTC (MDA-MB-157)	MDA-MB-157	BTC	1ng/ml	2958.923967	2346.891527	1069.931871	14344.15847	18100.76601	13947.56659
100ng/ml BTC (MDA-MB-157)	MDA-MB-157	BTC	100ng/ml	4894.486088	2442.831232	1069.931871	24254.79541	15446.27892	3311.577849
1ng/ml BTC (MDA-MB-175-VII)	MDA-MB-175-VII	BTC	1ng/ml	12347.86508	14742.32292	11153.54218	29898.54532	32431.8186	30030.45506
100ng/ml BTC (MDA-MB-175-VII)	MDA-MB-175-VII	BTC	100ng/ml	13599.04037	13484.38452	9780.525244	32395.18348	38740.37438	36410.41581
1ng/ml BTC (MDA-MB-361)	MDA-MB-361	BTC	1ng/ml	2907.247989	2787.558043	1954.613727	3842.096478	1597.882942	166.1702235
100ng/ml BTC (MDA-MB-361)	MDA-MB-361	BTC	100ng/ml	6468.329205	8133.200066	9201.249632	4390.594937	2181.436488	468.0505269
1ng/ml BTC (MDA-MB-415)	MDA-MB-415	BTC	1ng/ml	26627.51627	39826.01622	37625.4109	7304.501446	6121.883991	3399.479304
100ng/ml BTC (MDA-MB-415)	MDA-MB-415	BTC	100ng/ml	43184.53299	44499.72397	46270.45202	13755.86779	8117.292961	5412.661478
1ng/ml BTC (MDA-MB-436)	MDA-MB-436	BTC	1ng/ml	9394.674378	9661.085426	7318.738814	16940.49664	19037.61098	16259.7785
100ng/ml BTC (MDA-MB-436)	MDA-MB-436	BTC	100ng/ml	11026.14734	10465.54633	8062.00411	20928.98243	21135.97442	13244.47625
1ng/ml BTC (MDA-MB-453)	MDA-MB-453	BTC	1ng/ml	8472.443378	7565.318058	5523.858054	7425.586794	5270.918551	1611.4188
100ng/ml BTC (MDA-MB-453)	MDA-MB-453	BTC	100ng/ml	19001.52261	16763.06726	19451.20781	5109.578584	3285.878287	3164.412867
1ng/ml BTC (MDA-MB-468)	MDA-MB-468	BTC	1ng/ml	41208.42312	39864.36446	34445.83749	34314.98181	27395.11776	24762.51069
100ng/ml BTC (MDA-MB-468)	MDA-MB-468	BTC	100ng/ml	54376.25479	57795.19187	53830.23415	55477.68696	49117.42788	29503.85938
1ng/ml BTC (T47D)	T47D	BTC	1ng/ml	19844.60951	19289.86271	20661.4251	36551.67182	33580.42039	33706.60336
100ng/ml BTC (T47D)	T47D	BTC	100ng/ml	35888.87348	31794.44242	29451.75806	40964.11857	36041.33855	26366.25489
1ng/ml BTC (UACC-812)	UACC-812	BTC	1ng/ml	3720.819038	3961.791193	4175.955933	29480.26611	30677.58148	34082.13078
100ng/ml BTC (UACC-812)	UACC-812	BTC	100ng/ml	10910.90183	18486.2062	42870.15308	47637.57611	47945.78406	49003.30325
1ng/ml BTC (UACC-893)	UACC-893	BTC	1ng/ml	36397.27917	31726.3731	33384.81581	6606.523583	5992.888889	4911.026254
100ng/ml BTC (UACC-893)	UACC-893	BTC	100ng/ml	32218.66647	46716.08624	24839.18448	5819.013559	8555.31432	3163.12162
1ng/ml BTC (ZR-75-1)	ZR-75-1	BTC	1ng/ml	16595.97301	10895.43963	7200.493022	50484.33506	36141.20255	25129.47365
100ng/ml BTC (ZR-75-1)	ZR-75-1	BTC	100ng/ml	44341.93841	28026.89999	18967.16534	76931.36495	31598.97798	6822.402496
1ng/ml BTC (ZR-75-30)	ZR-75-30	BTC	1ng/ml	8369.153989	8675.237666	10958.37079	20114.74653	17167.95907	19000.94092
100ng/ml BTC (ZR-75-30)	ZR-75-30	BTC	100ng/ml	46841.59272	64109.41733	92257.53539	23934.28478	27260.35571	31753.63942
1ng/ml BTC (184B5)	184B5	BTC	1ng/ml	18092.72999	8378.525741	6451.323553	36951.94805	35705.34985	26745.57797
100ng/ml BTC (184B5)	184B5	BTC	100ng/ml	33122.96417	18526.69486	11597.27111	39408.79301	33496.50924	23908.86793
1ng/ml BTC (HCC1187)	HCC1187	BTC	1ng/ml	24184.86951	24302.52615	30036.84302	17017.03404	14477.75179	15544.55291
100ng/ml BTC (HCC1187)	HCC1187	BTC	100ng/ml	59607.12684	46955.0223	33752.67923	26148.93722	22663.06829	14768.93444
1ng/ml BTC (HCC1500)	HCC1500	BTC	1ng/ml	3279.211155	1244.241173	1244.241173	3077.164256	3077.164256	3077.164256
100ng/ml BTC (HCC1500)	HCC1500	BTC	100ng/ml	1244.241173	1244.241173	1874.777212	7425.961123	3077.164256	3077.164256
1ng/ml BTC (MCF 10A)	MCF 10A	BTC	1ng/ml	10497.90069	7147.657826	5482.148388	23436.47295	15785.87519	8656.817019
100ng/ml BTC (MCF 10A)	MCF 10A	BTC	100ng/ml	25167.79781	11113.06833	8969.237572	25705.10268	12271.17833	10520.16783
1ng/ml BTC (MCF 10F)	MCF 10F	BTC	1ng/ml	4577.524152	3501.819387	3330.132482	24092.95174	12817.28463	11646.16413
100ng/ml BTC (MCF 10F)	MCF 10F	BTC	100ng/ml	7048.327142	3494.480573	4029.077003	30164.03443	13407.50712	6934.725921
1ng/ml BTC (MCF12A)	MCF12A	BTC	1ng/ml	2724.816686	2566.408675	1201.994205	8932.519608	11274.41908	12310.09699
100ng/ml BTC (MCF12A)	MCF12A	BTC	100ng/ml	3329.079379	2242.599953	2281.38614	22561.035	18924.37714	18618.25259
1ng/ml EFNA1 (MCF7)	MCF7	EFNA1	1ng/ml	889.1092723	889.1092723	889.1092723	248.7780028	248.7780028	248.7780028
100ng/ml EFNA1 (MCF7)	MCF7	EFNA1	100ng/ml	889.1092723	889.1092723	2009.770858	248.7780028	248.7780028	1023.039705
1ng/ml EFNA1 (SK-BR-3)	SK-BR-3	EFNA1	1ng/ml	9869.472759	9724.120608	9975.029214	2173.008132	2173.008132	3513.373507
100ng/ml EFNA1 (SK-BR-3)	SK-BR-3	EFNA1	100ng/ml	10600.14785	9045.897553	8547.211806	2173.008132	2173.008132	2173.008132
1ng/ml EFNA1 (MDA-MB-231)	MDA-MB-231	EFNA1	1ng/ml	1935.506625	547.0725358	2250.923391	31.58511031	31.58511031	31.58511031
100ng/ml EFNA1 (MDA-MB-231)	MDA-MB-231	EFNA1	100ng/ml	1834.066339	1335.933725	3401.273541	156.9512306	31.58511031	511.4865975
1ng/ml EFNA1 (AU565)	AU565	EFNA1	1ng/ml	8372.35298	7276.502154	8739.071146	10002.52133	9011.761618	8689.599956
100ng/ml EFNA1 (AU565)	AU565	EFNA1	100ng/ml	10234.3707	9034.325704	12291.97899	12988.70957	8773.5183	11349.52003
1ng/ml EFNA1 (BT-20)	BT-20	EFNA1	1ng/ml	7503.133783	7955.961821	8973.423134	530.7878177	531.0191932	1515.356622
100ng/ml EFNA1 (BT-20)	BT-20	EFNA1	100ng/ml	7727.080685	7973.45592	10159.99408	1164.095579	315.2780785	1596.8669
1ng/ml EFNA1 (BT-474)	BT-474	EFNA1	1ng/ml	21314.73942	20951.60441	24432.65338	8793.79116	8597.30144	8683.404553
100ng/ml EFNA1 (BT-474)	BT-474	EFNA1	100ng/ml	17009.91024	18175.02252	20997.43698	10464.40203	8484.108393	8300.754368
1ng/ml EFNA1 (BT-483)	BT-483	EFNA1	1ng/ml	3634.92478	2622.927616	2353.851105	281.9715551	281.9715551	281.9715551
100ng/ml EFNA1 (BT-483)	BT-483	EFNA1	100ng/ml	3602.157876	2170.111455	3974.434824	423.7594287	281.9715551	602.386218
1ng/ml EFNA1 (BT-549)	BT-549	EFNA1	1ng/ml	11553.07481	10089.80054	10629.44224	2694.207954	3305.748605	3366.0173
100ng/ml EFNA1 (BT-549)	BT-549	EFNA1	100ng/ml	8900.260402	9553.485132	10240.46193	2776.988079	3045.100396	3224.397778
1ng/ml EFNA1 (CAMA-1)	CAMA-1	EFNA1	1ng/ml	6451.873858	4547.548936	4177.497716	70.21348513	70.21348513	180.5961808
100ng/ml EFNA1 (CAMA-1)	CAMA-1	EFNA1	100ng/ml	4183.901669	5782.539153	5459.666424	70.21348513	70.21348513	70.21348513
1ng/ml EFNA1 (HCC1395)	HCC1395	EFNA1	1ng/ml	10585.23919	9792.460472	11047.8109	2294.37206	2294.37206	2294.37206
100ng/ml EFNA1 (HCC1395)	HCC1395	EFNA1	100ng/ml	11831.74822	10289.75709	11070.74728	2294.37206	2294.37206	2294.37206
1ng/ml EFNA1 (HCC1419)	HCC1419	EFNA1	1ng/ml	25646.87919	17368.10382	32085.62491	20160.50249	21692.32175	23520.73294
100ng/ml EFNA1 (HCC1419)	HCC1419	EFNA1	100ng/ml	25318.00005	27605.37561	30594.28544	20197.18623	21656.6995	26195.18041
1ng/ml EFNA1 (HCC1428)	HCC1428	EFNA1	1ng/ml	1040.118819	1040.118819	1040.118819	103.8606935	103.8606935	103.8606935
100ng/ml EFNA1 (HCC1428)	HCC1428	EFNA1	100ng/ml	1040.118819	1040.118819	1673.566797	103.8606935	103.8606935	1011.087275
1ng/ml EFNA1 (HCC1569)	HCC1569	EFNA1	1ng/ml	16615.59196	14980.31202	13610.90898	3364.015878	3445.244912	3655.771456
100ng/ml EFNA1 (HCC1569)	HCC1569	EFNA1	100ng/ml	18630.06952	13026.68464	24511.86156	7511.09255	3378.605249	6572.435313
1ng/ml EFNA1 (HCC1806)	HCC1806	EFNA1	1ng/ml	6654.772884	5611.942064	6224.285142	2649.337784	2649.337784	2649.337784
100ng/ml EFNA1 (HCC1806)	HCC1806	EFNA1	100ng/ml	7653.921472	5232.262961	6014.584032	2649.337784	2649.337784	2649.337784
1ng/ml EFNA1 (HCC1937)	HCC1937	EFNA1	1ng/ml	2035.065726	804.5407064	1481.052001	343.1177563	343.1177563	518.1287238
100ng/ml EFNA1 (HCC1937)	HCC1937	EFNA1	100ng/ml	1929.111236	1299.373532	3399.27901	343.1177563	343.1177563	1373.011272
1ng/ml EFNA1 (HCC1954)	HCC1954	EFNA1	1ng/ml	4351.130337	3768.843627	4581.097245	9837.189805	6689.982191	7878.171839
100ng/ml EFNA1 (HCC1954)	HCC1954	EFNA1	100ng/ml	6211.661556	5634.826212	5748.901105	12509.59246	9064.232751	11703.41422
1ng/ml EFNA1 (HCC202)	HCC202	EFNA1	1ng/ml	66581.84856	54527.67943	55428.79496	3952.4108	3966.478082	3967.361376
100ng/ml EFNA1 (HCC202)	HCC202	EFNA1	100ng/ml	55459.1596	63830.77193	69823.32415	3761.357492	4531.819217	3981.723089
1ng/ml EFNA1 (HCC38)	HCC38	EFNA1	1ng/ml	2852.67687	3405.856764	2974.405429	406.3594033	414.7536153	276.6552885
100ng/ml EFNA1 (HCC38)	HCC38	EFNA1	100ng/ml	2204.907034	2942.260658	2859.000431	1848.042753	845.0698067	508.3987225
1ng/ml EFNA1 (HCC70)	HCC70	EFNA1	1ng/ml	9786.251737	9260.609187	10622.2342	389.867648	389.867648	389.867648
100ng/ml EFNA1 (HCC70)	HCC70	EFNA1	100ng/ml	10546.54997	10773.94826	10893.86802	389.867648	389.867648	389.867648
1ng/ml EFNA1 (Hs 578T)	Hs 578T	EFNA1	1ng/ml	3642.08784	3124.553612	3528.33591	4801.559611	4746.669046	5772.80697
100ng/ml EFNA1 (Hs 578T)	Hs 578T	EFNA1	100ng/ml	4139.33569	3076.477674	4010.114238	4369.594731	4954.106111	6814.996341
1ng/ml EFNA1 (MDA-MB-134-VI)	MDA-MB-134-VI	EFNA1	1ng/ml	842.221377	842.221377	842.221377	1264.695902	1313.649206	1392.704604
100ng/ml EFNA1 (MDA-MB-134-VI)	MDA-MB-134-VI	EFNA1	100ng/ml	842.221377	842.221377	1285.953838	2124.490675	1277.861827	1776.072413
1ng/ml EFNA1 (MDA-MB-157)	MDA-MB-157	EFNA1	1ng/ml	1069.931871	1069.931871	1069.931871	252.4573021	252.4573021	252.4573021
100ng/ml EFNA1 (MDA-MB-157)	MDA-MB-157	EFNA1	100ng/ml	1069.931871	1069.931871	1624.714548	252.4573021	252.4573021	252.4573021
1ng/ml EFNA1 (MDA-MB-175-VII)	MDA-MB-175-VII	EFNA1	1ng/ml	12580.98102	14338.86116	15575.98186	23208.36643	25792.43924	27398.43891
100ng/ml EFNA1 (MDA-MB-175-VII)	MDA-MB-175-VII	EFNA1	100ng/ml	13202.34172	13733.87987	16500.20307	24698.10715	24056.97801	27136.60128
1ng/ml EFNA1 (MDA-MB-361)	MDA-MB-361	EFNA1	1ng/ml	1912.88509	1179.839241	1249.047713	166.1702235	166.1702235	166.1702235
100ng/ml EFNA1 (MDA-MB-361)	MDA-MB-361	EFNA1	100ng/ml	3097.164178	751.2088921	1880.825283	1900.277937	166.1702235	166.1702235
1ng/ml EFNA1 (MDA-MB-415)	MDA-MB-415	EFNA1	1ng/ml	33074.36711	38435.35522	40764.46084	127.9250287	126.5604832	43.43729105
100ng/ml EFNA1 (MDA-MB-415)	MDA-MB-415	EFNA1	100ng/ml	33338.41157	42871.08082	34480.02149	43.43729105	149.8259836	480.8188623
1ng/ml EFNA1 (MDA-MB-436)	MDA-MB-436	EFNA1	1ng/ml	2943.918847	1879.29971	2420.322222	2360.487221	2360.487221	2360.487221
100ng/ml EFNA1 (MDA-MB-436)	MDA-MB-436	EFNA1	100ng/ml	3378.848464	1185.834035	3080.968316	2360.487221	2360.487221	2360.487221
1ng/ml EFNA1 (MDA-MB-453)	MDA-MB-453	EFNA1	1ng/ml	6604.915364	5437.848837	5896.698949	1608.22638	926.0922974	1780.406954
100ng/ml EFNA1 (MDA-MB-453)	MDA-MB-453	EFNA1	100ng/ml	6319.896528	4793.081844	7323.60597	1390.681414	592.264794	2565.711438
1ng/ml EFNA1 (MDA-MB-468)	MDA-MB-468	EFNA1	1ng/ml	20596.62927	17513.68131	21198.52892	3584.13095	4459.731503	3662.14111
100ng/ml EFNA1 (MDA-MB-468)	MDA-MB-468	EFNA1	100ng/ml	20548.9227	19098.72457	22734.63974	4428.817709	3264.180442	4204.547569
1ng/ml EFNA1 (T47D)	T47D	EFNA1	1ng/ml	6445.970979	5535.707293	5579.280394	863.9343925	1105.731684	1382.025221
100ng/ml EFNA1 (T47D)	T47D	EFNA1	100ng/ml	7342.730605	5507.168712	6710.470505	2143.445884	1001.807181	2292.064774
1ng/ml EFNA1 (UACC-812)	UACC-812	EFNA1	1ng/ml	2925.139586	3580.595632	3741.538323	25284.60168	26781.01586	27162.95572
100ng/ml EFNA1 (UACC-812)	UACC-812	EFNA1	100ng/ml	3557.126869	3474.740708	3993.999371	26080.07203	25366.33859	27820.80749
1ng/ml EFNA1 (UACC-893)	UACC-893	EFNA1	1ng/ml	23796.21541	25391.67794	29186.9562	2073.098393	2073.098393	2073.098393
100ng/ml EFNA1 (UACC-893)	UACC-893	EFNA1	100ng/ml	25172.04922	23645.12711	24548.66295	2073.098393	2073.098393	2073.098393
1ng/ml EFNA1 (ZR-75-1)	ZR-75-1	EFNA1	1ng/ml	4320.220456	3674.80285	4367.996799	493.8180389	40.03814833	264.2099616
100ng/ml EFNA1 (ZR-75-1)	ZR-75-1	EFNA1	100ng/ml	2503.554155	2276.762186	2802.447616	473.3239415	40.03814833	2186.609852
1ng/ml EFNA1 (ZR-75-30)	ZR-75-30	EFNA1	1ng/ml	7968.843835	6327.133376	8227.875223	17907.68321	15740.84867	18508.45619
100ng/ml EFNA1 (ZR-75-30)	ZR-75-30	EFNA1	100ng/ml	7911.186496	6482.552209	7644.47559	17494.76015	16653.88605	17457.39246
1ng/ml EFNA1 (184B5)	184B5	EFNA1	1ng/ml	4866.993431	3775.392605	6134.569006	8463.997949	8195.148079	8655.288011
100ng/ml EFNA1 (184B5)	184B5	EFNA1	100ng/ml	4889.687007	4007.663347	5871.323522	8963.596547	8829.865457	11060.96944
1ng/ml EFNA1 (HCC1187)	HCC1187	EFNA1	1ng/ml	14879.42705	14313.68884	14201.10482	666.4933818	248.3144238	248.3144238
100ng/ml EFNA1 (HCC1187)	HCC1187	EFNA1	100ng/ml	14082.46184	13744.70979	13905.2019	248.3144238	248.3144238	430.6926085
1ng/ml EFNA1 (HCC1500)	HCC1500	EFNA1	1ng/ml	1244.241173	1905.094417	1879.092829	3077.164256	3077.164256	3077.164256
100ng/ml EFNA1 (HCC1500)	HCC1500	EFNA1	100ng/ml	1904.231294	1244.241173	2147.200495	3077.164256	3077.164256	3077.164256
1ng/ml EFNA1 (MCF 10A)	MCF 10A	EFNA1	1ng/ml	3219.128897	3982.677255	3322.226437	2283.039487	1501.01323	4171.13218
100ng/ml EFNA1 (MCF 10A)	MCF 10A	EFNA1	100ng/ml	2570.497272	1824.179303	2833.36752	3138.59442	1934.823707	3116.422562
1ng/ml EFNA1 (MCF 10F)	MCF 10F	EFNA1	1ng/ml	1859.888936	2128.427514	2166.258584	407.4253875	407.4253875	407.4253875
100ng/ml EFNA1 (MCF 10F)	MCF 10F	EFNA1	100ng/ml	2417.638808	1401.264736	2373.295832	407.4253875	407.4253875	407.4253875
1ng/ml EFNA1 (MCF12A)	MCF12A	EFNA1	1ng/ml	2358.958515	1222.319659	1640.20198	6494.889806	7154.440567	7267.204652
100ng/ml EFNA1 (MCF12A)	MCF12A	EFNA1	100ng/ml	3190.530642	1259.427598	2248.473822	6903.184667	6980.528852	9355.272229
1ng/ml EGF (MCF7)	MCF7	EGF	1ng/ml	889.1092723	889.1092723	889.1092723	12658.85797	3366.830071	2506.377093
100ng/ml EGF (MCF7)	MCF7	EGF	100ng/ml	889.1092723	2359.564882	889.1092723	24821.94333	6643.643804	991.4530653
1ng/ml EGF (SK-BR-3)	SK-BR-3	EGF	1ng/ml	20647.71316	21261.21928	10369.59376	38617.43544	36741.29442	26553.72561
100ng/ml EGF (SK-BR-3)	SK-BR-3	EGF	100ng/ml	43123.14837	39832.23997	33116.81401	44073.24422	39729.90197	30419.27835
1ng/ml EGF (MDA-MB-231)	MDA-MB-231	EGF	1ng/ml	4642.007649	3131.582612	3312.642719	9821.497701	10554.47476	6795.803083
100ng/ml EGF (MDA-MB-231)	MDA-MB-231	EGF	100ng/ml	9121.857407	6022.700539	1954.058836	18425.17379	10493.72007	6994.027839
1ng/ml EGF (AU565)	AU565	EGF	1ng/ml	9444.646864	12910.57523	6958.256926	38478.59196	36797.87377	25765.69141
100ng/ml EGF (AU565)	AU565	EGF	100ng/ml	24894.26349	28920.57526	21243.05071	47368.37278	41974.35066	30625.86833
1ng/ml EGF (BT-20)	BT-20	EGF	1ng/ml	12993.25321	13463.12678	14324.59904	27097.42038	25151.61864	21070.51864
100ng/ml EGF (BT-20)	BT-20	EGF	100ng/ml	13817.49443	14973.89927	14572.76854	29698.08085	27654.34118	22950.44448
1ng/ml EGF (BT-474)	BT-474	EGF	1ng/ml	20332.12243	19659.01448	18339.51878	19722.84486	15614.29587	16131.92798
100ng/ml EGF (BT-474)	BT-474	EGF	100ng/ml	38916.86022	31881.09616	38849.78137	41284.0154	24094.73139	15436.43779
1ng/ml EGF (BT-483)	BT-483	EGF	1ng/ml	3436.077647	3057.471889	3426.584432	5966.340709	2667.600408	2840.973468
100ng/ml EGF (BT-483)	BT-483	EGF	100ng/ml	4352.428116	3376.260183	2892.412437	31488.11446	6414.271246	972.6738573
1ng/ml EGF (BT-549)	BT-549	EGF	1ng/ml	11103.53645	11109.89553	10639.02978	7471.474742	4437.791621	5535.094776
100ng/ml EGF (BT-549)	BT-549	EGF	100ng/ml	18876.58789	15825.69479	11755.58719	21963.35638	15472.60057	6414.827149
1ng/ml EGF (CAMA-1)	CAMA-1	EGF	1ng/ml	4763.499966	3951.494911	4977.505491	70.21348513	70.21348513	70.21348513
100ng/ml EGF (CAMA-1)	CAMA-1	EGF	100ng/ml	4609.805089	6869.833133	5299.243343	8999.756897	5370.5368	5104.836457
1ng/ml EGF (HCC1395)	HCC1395	EGF	1ng/ml	16276.15259	20293.99152	20930.05966	12854.86703	11796.22993	8969.993637
100ng/ml EGF (HCC1395)	HCC1395	EGF	100ng/ml	22130.18338	26555.36732	19161.13931	17436.85072	14213.01892	2294.37206
1ng/ml EGF (HCC1419)	HCC1419	EGF	1ng/ml	33563.22447	29191.69621	28052.8813	22877.87774	19526.45139	21158.76848
100ng/ml EGF (HCC1419)	HCC1419	EGF	100ng/ml	43163.26797	40898.17982	38835.75535	35385.44035	24274.13888	26775.4391
1ng/ml EGF (HCC1428)	HCC1428	EGF	1ng/ml	1040.118819	1040.118819	1040.118819	21679.98051	13885.01672	11567.6548
100ng/ml EGF (HCC1428)	HCC1428	EGF	100ng/ml	1040.118819	1040.118819	1040.118819	38853.1326	21315.36619	5790.390427
1ng/ml EGF (HCC1569)	HCC1569	EGF	1ng/ml	35358.15079	36056.16574	31485.66756	37053.58264	29831.65255	21566.83722
100ng/ml EGF (HCC1569)	HCC1569	EGF	100ng/ml	60275.08372	62456.44895	54663.86742	46514.4079	34548.82962	21367.26863
1ng/ml EGF (HCC1806)	HCC1806	EGF	1ng/ml	12485.49312	21448.40099	26585.48433	43243.53235	48214.96948	42064.02799
100ng/ml EGF (HCC1806)	HCC1806	EGF	100ng/ml	27420.06571	23248.34652	18106.51225	62832.38388	57271.30875	42289.13261
1ng/ml EGF (HCC1937)	HCC1937	EGF	1ng/ml	9543.654678	6229.622768	7802.495497	31732.90205	22160.00489	21920.95562
100ng/ml EGF (HCC1937)	HCC1937	EGF	100ng/ml	17611.26188	15221.57457	10589.41367	41593.81115	33602.09759	22239.37127
1ng/ml EGF (HCC1954)	HCC1954	EGF	1ng/ml	5258.076212	5199.827351	7444.780863	37518.56715	35495.88061	34240.05521
100ng/ml EGF (HCC1954)	HCC1954	EGF	100ng/ml	9116.836129	9842.170736	8653.772825	39534.38367	38394.80017	35174.92524
1ng/ml EGF (HCC202)	HCC202	EGF	1ng/ml	59840.10327	56254.99118	56612.8177	22293.95374	24438.10184	22384.11519
