#1.3									
1170	6	3	2						
id	Cell Line	Ligand	Concentration	pAkt (10min)	pAkt (30min)	pAkt (90min)	pErk (10min)	pErk (30min)	pErk (90min)
Phosphoprotein	na	na	na	pAkt	pAkt	pAkt	pErk	pErk	pErk
Timepoint	na	na	na	10m	30m	90m	10m	30m	90m
1ng/ml BTC (MCF7)	MCF7	BTC	1ng/ml	1419.591115	2493.334342	889.1092723	31767.33429	23408.67272	7535.649125
100ng/ml BTC (MCF7)	MCF7	BTC	100ng/ml	4851.873532	3374.848856	2134.307602	58976.08593	34863.81952	6781.205161
1ng/ml BTC (SK-BR-3)	SK-BR-3	BTC	1ng/ml	18514.53334	19358.46307	11345.95835	39106.43799	35926.44856	28516.1025
100ng/ml BTC (SK-BR-3)	SK-BR-3	BTC	100ng/ml	47781.59349	48534.18883	47097.89037	41759.36705	38693.31351	30672.04687
1ng/ml BTC (MDA-MB-231)	MDA-MB-231	BTC	1ng/ml	4575.291042	1680.179857	1292.397486	13147.21848	10582.89172	7578.674632
100ng/ml BTC (MDA-MB-231)	MDA-MB-231	BTC	100ng/ml	6571.23767	4457.051682	2204.36786	17361.84526	9114.474098	5216.424011
1ng/ml BTC (AU565)	AU565	BTC	1ng/ml	10613.43361	13577.41789	8561.14828	37575.85709	37321.75076	26120.44014
100ng/ml BTC (AU565)	AU565	BTC	100ng/ml	30952.36152	40943.10982	33568.54114	43092.5775	44078.4359	34900.96816
1ng/ml BTC (BT-20)	BT-20	BTC	1ng/ml	15863.2948	14866.24327	13798.65463	27362.41142	22655.70516	20268.43899
100ng/ml BTC (BT-20)	BT-20	BTC	100ng/ml	16165.2923	17211.12545	16012.55535	28628.6303	26489.29949	22170.67603
1ng/ml BTC (BT-474)	BT-474	BTC	1ng/ml	24288.29005	24470.22867	21883.93546	26887.72304	20365.05169	15684.41787
100ng/ml BTC (BT-474)	BT-474	BTC	100ng/ml	72916.74423	80638.60522	91682.67841	44219.74567	32925.93283	22712.67704
1ng/ml BTC (BT-483)	BT-483	BTC	1ng/ml	3536.113679	3326.446322	2327.617166	20624.92667	8597.255843	2457.33093
100ng/ml BTC (BT-483)	BT-483	BTC	100ng/ml	4760.125985	5352.073893	5524.789164	31020.69299	5778.890863	1764.7611
1ng/ml BTC (BT-549)	BT-549	BTC	1ng/ml	12028.04951	10238.11396	10303.27012	9196.715762	4905.80702	6372.027641
100ng/ml BTC (BT-549)	BT-549	BTC	100ng/ml	16462.19024	14367.2143	9698.080931	19620.85752	9208.348653	3608.044944
1ng/ml BTC (CAMA-1)	CAMA-1	BTC	1ng/ml	6896.745949	8283.485539	5580.61197	15071.78468	15929.64529	6850.604665
100ng/ml BTC (CAMA-1)	CAMA-1	BTC	100ng/ml	9706.135904	12952.69699	9920.952056	32481.76558	13201.42288	7443.810871
1ng/ml BTC (HCC1395)	HCC1395	BTC	1ng/ml	17982.02993	21119.31684	21520.51131	17216.65905	15264.84356	10213.03367
100ng/ml BTC (HCC1395)	HCC1395	BTC	100ng/ml	22074.05972	23737.13957	17193.4797	19190.91832	11237.88845	2294.37206
1ng/ml BTC (HCC1419)	HCC1419	BTC	1ng/ml	41592.0453	32725.48935	19038.2219	35396.64841	23647.26842	26373.51021
100ng/ml BTC (HCC1419)	HCC1419	BTC	100ng/ml	72871.27104	67179.75278	53970.82593	46177.23427	33189.97324	38669.18131
1ng/ml BTC (HCC1428)	HCC1428	BTC	1ng/ml	1040.118819	1040.118819	1040.118819	33322.21694	26045.98984	11111.23674
100ng/ml BTC (HCC1428)	HCC1428	BTC	100ng/ml	1040.118819	1040.118819	1040.118819	41929.92345	19070.17294	4399.160565
1ng/ml BTC (HCC1569)	HCC1569	BTC	1ng/ml	34522.77265	38422.35261	27777.64427	42118.48369	33646.96436	19617.6908
100ng/ml BTC (HCC1569)	HCC1569	BTC	100ng/ml	90291.84087	93973.08069	76112.41867	45621.4619	35677.72207	22498.7413
1ng/ml BTC (HCC1806)	HCC1806	BTC	1ng/ml	14948.85431	19636.71009	23933.00943	45527.82589	43370.40203	41817.09338
100ng/ml BTC (HCC1806)	HCC1806	BTC	100ng/ml	19551.58912	17070.27995	15311.90513	61933.92918	42465.64496	32102.42928
1ng/ml BTC (HCC1937)	HCC1937	BTC	1ng/ml	12673.94023	6572.694739	7649.767418	35858.90893	25363.86052	24995.12037
100ng/ml BTC (HCC1937)	HCC1937	BTC	100ng/ml	17597.27904	12894.81005	6219.480284	39878.21774	30236.43715	13936.49462
1ng/ml BTC (HCC1954)	HCC1954	BTC	1ng/ml	6134.635765	6405.992678	6963.84919	38059.23392	34151.74491	32016.2676
100ng/ml BTC (HCC1954)	HCC1954	BTC	100ng/ml	11956.79621	10161.37853	13331.85295	43417.06968	35536.93942	30702.38575
1ng/ml BTC (HCC202)	HCC202	BTC	1ng/ml	59839.40865	60497.50778	59364.09279	26544.759	29695.86272	23443.05433
100ng/ml BTC (HCC202)	HCC202	BTC	100ng/ml	70790.03128	68325.13648	67558.37955	50186.75538	36367.61438	17645.07713
1ng/ml BTC (HCC38)	HCC38	BTC	1ng/ml	8269.334295	7884.650968	6874.988975	36951.55429	30433.04249	22836.37087
100ng/ml BTC (HCC38)	HCC38	BTC	100ng/ml	14049.06955	8964.399101	4969.093874	50815.85909	28885.70941	7518.107321
1ng/ml BTC (HCC70)	HCC70	BTC	1ng/ml	29259.04458	29009.87412	30639.50426	25546.17618	14130.25467	14388.20562
100ng/ml BTC (HCC70)	HCC70	BTC	100ng/ml	37358.81267	43271.51377	33369.1477	40459.26064	16355.36406	6977.782308
1ng/ml BTC (Hs 578T)	Hs 578T	BTC	1ng/ml	33695.47739	26356.62528	20929.60222	44185.96333	29048.98549	19043.12068
100ng/ml BTC (Hs 578T)	Hs 578T	BTC	100ng/ml	82802.68573	66538.01239	24366.15177	66496.47593	45281.46507	13132.1844
1ng/ml BTC (MDA-MB-134-VI)	MDA-MB-134-VI	BTC	1ng/ml	842.221377	842.221377	842.221377	2032.389042	2231.254361	1016.099292
100ng/ml BTC (MDA-MB-134-VI)	MDA-MB-134-VI	BTC	100ng/ml	842.221377	842.221377	842.221377	1399.108031	1136.328129	1373.374631
