#1.3																									
1750	21	4	0																						
id	Cell Line	Perturbagen	Concentration	Timepoint	pMEK(S217/221)	pERK(T202/Y204)	p-p90RSK(S380)	p-p90RSK(T573)	p-AKT(T308)	p-AKT(S473)	p-mTOR(S2448)	p-p70S6K(T421/S424)	p-p70S6K(T389)	p-S6(S235/236)	p-AMPK(T172)	p-JNK(T183/Y185)	Total c-Jun	p-cJun(S63)	p-P38(T180/Y182)	p-HSP27(S82)	p-NFKB(S536)	Bim	cPARP	p-Histone H3(S10)	p27Kip1
0.1uM SB590885 @ 48h (K2)	K2	SB590885	0.1uM	48h	-1.16517	-0.681925	0.2296185	0.104295	0.097682	0.529945	0.356281	0.46284	-0.212645	-0.19515	0.52152	0.480325	0.748475	0.69743	-0.38173	1.4214	0.65853	1.06447	0.80127	0.06925	0.15219
0.316uM SB590885 @ 1h (K2)	K2	SB590885	0.316uM	1h	-2.14985	-3.1315	0.36272	0.13698	-0.029833	0.61305	0.00038	0.26303	0.057859	0.62664	1.1518	0.57761	0.3044935	0.479845	-0.0794965	1.4968	0.31758	0.732055	0.71051	-0.339255	0.02885
0.316uM SB590885 @ 5h (K2)	K2	SB590885	0.316uM	5h	-1.71475	-1.74355	0.4634019	0.513215	0.016954	0.81737	-0.0657345	0.25387	-0.120475	-0.0488825	0.91739	0.682445	-0.044405	0.16829025	0.491325	1.4831	0.68015	0.91407	0.88556	0.32203	0.178185
0.316uM SB590885 @ 10h (K2)	K2	SB590885	0.316uM	10h	-2.03695	-1.65375	0.39621	0.71965	0.07259	1.02767	0.03588	0.18203	-0.727395	-0.73531	0.53559	0.614209	-0.1650285	0.186475	-0.0026315	1.1484	0.39168	1.008885	0.76198	0.998555	0.39883
0.316uM SB590885 @ 24h (K2)	K2	SB590885	0.316uM	24h	-2.1514	-1.4714	0.4652	-0.122385	0.058802	1.07817	-0.19981	-0.082033	-1.166735	-1.6802	0.76255	0.71426475	0.4271855	0.50001	-0.158665	1.6405	0.34642	1.40331	1.1978	-1.9169	0.798515
0.316uM SB590885 @ 48h (K2)	K2	SB590885	0.316uM	48h	-1.7109	-0.89285	0.708505	0.40549	0.16564	1.26784	0.5313565	0.82288	-0.1773725	-0.420175	1.0461	1.04937	1.251055	1.320665	0.18826	2.6578	1.1736	2.22545	1.6466	-0.50193	0.76027
1uM SB590885 @ 1h (K2)	K2	SB590885	1uM	1h	-2.3494	-3.80375	0.305065	-0.002215	-0.10353	0.97383	0.2358765	0.35953	0.1265944	0.364775	1.4301	0.43111	0.247065	0.451355	-0.00542	1.4249	0.44103	1.069955	0.6293	-0.384415	-0.106365
1uM SB590885 @ 5h (K2)	K2	SB590885	1uM	5h	-2.22875	-2.9747	0.226175	0.253595	-0.039828	0.696445	-0.00688	0.32664	-0.205635	-0.36376	0.65283	0.385055	-0.147818	0.08723	0.454615	1.3161	0.6809	0.938915	0.67101	0.420888	0.130057
1uM SB590885 @ 10h (K2)	K2	SB590885	1uM	10h	-2.59305	-2.627	0.11879	0.233353	-0.085036	0.86761	-0.15738295	-0.04188	-0.998505	-1.250075	0.25333	0.234305	-0.38394	-0.1542365	-0.19047	0.70256	0.28543	0.85503	0.34408	0.887425	0.32695
1uM SB590885 @ 24h (K2)	K2	SB590885	1uM	24h	-2.428	-2.0972	0.308305	-0.21172	-0.13484	1.10757	-0.117495	0.049766	-1.4148	-2.14985	0.59741	0.636439	0.30235	0.398625	-0.091805	1.4981	0.56763	1.635015	0.69265	-1.838	1.08846
1uM SB590885 @ 48h (K2)	K2	SB590885	1uM	48h	-2.08305	-1.38925	0.561011	-0.000975	0.047974	1.307705	0.35611	0.60591	-0.558735	-1.25115	0.90832	0.826395	1.16283	1.30037	-0.0331	2.7574	1.1669	1.923165	1.1276	-1.47885	0.980705
3.16uM SB590885 @ 1h (K2)	K2	SB590885	3.16uM	1h	-3.22865	-4.43985	-0.047375	-0.407135	-0.1164	0.59672	-0.0402995	-0.13347	-0.129415	0.093321715	0.83077	0.00992	0.099345	0.226463	-0.347955	0.73412	0.20308	0.673155	0.24641	-0.651515	-0.170814
3.16uM SB590885 @ 5h (K2)	K2	SB590885	3.16uM	5h	-2.60445	-3.6389	0.084685	-0.03723	-0.10725	0.65548	-0.1255115	0.27832	-0.331705	-0.509785	0.39373	0.28155	-0.097885	-0.014525	0.40896	1.0799	0.69197	0.86318	0.70586	0.246365	0.201725
3.16uM SB590885 @ 10h (K2)	K2	SB590885	3.16uM	10h	-3.2478	-3.6733	-0.235445	0.0816145	-0.19033	0.56718	-0.397655	-0.28093	-1.23941	-1.63655	-0.34058	-0.177625	-0.48809	-0.342755	-0.379425	0.14241	0.039715	0.749285	0.11685	0.773495	0.426765
3.16uM SB590885 @ 24h (K2)	K2	SB590885	3.16uM	24h	-2.67395	-2.1788	0.318455	-0.3242135	-0.19215	1.08641	-0.09472	0.13865	-1.33185	-1.999	0.53795	0.59255	0.194325	0.327546	-0.1358075	1.5221	0.76088	1.93815	1.0922	-1.9431	1.3568
3.16uM SB590885 @ 48h (K2)	K2	SB590885	3.16uM	48h	-2.2603	-1.9831	0.456555	-0.27279	-0.097159	1.5208	-0.014355	0.41626	-0.827255	-1.49925	0.6473	0.626245	0.993365	1.14864	-0.1607715	2.66	0.95478	1.99255	1.2118	-2.1158	1.281925
0.00316uM Selumetinib @ 1h (K2)	K2	Selumetinib	0.00316uM	1h	0.247905	0.52052	0.607286	0.37286	0.097621	0.80572	0.2686	0.69232	0.42105	0.771615	1.203	0.853239	0.6020695	0.574045	0.2137755	1.6884	0.66216	0.828405	0.6601	-0.442565	0.0626345
0.00316uM Selumetinib @ 5h (K2)	K2	Selumetinib	0.00316uM	5h	-0.065872	0.460925	0.206785	0.2519255	0.13044	0.0506825	-0.199991	-0.31304	0.032165	0.450625	-0.13721	0.12127615	0.0443115	0.1868035	0.39438	0.27731	-0.21881	-0.041995	-0.24631	-0.426075	0.034925
0.00316uM Selumetinib @ 10h (K2)	K2	Selumetinib	0.00316uM	10h	0.17717	0.73123	0.48639	0.66331	0.23367	0.833205	0.2028785	0.41057	0.0085575	0.62545	0.35227	0.572752	0.370345	0.43613	0.15684	0.92712	0.44392	0.564215	0.41261	0.47109	0.07273
0.00316uM Selumetinib @ 24h (K2)	K2	Selumetinib	0.00316uM	24h	-0.24192	-0.1420449	0.045195	-0.042458	0.054975	-0.21027	-0.0900245	-0.34666	-0.545115	-0.1018645	0.30819	-0.045456	-0.066959	-0.0180805	-0.3225805	-0.15665	-0.17484	0.1088865	-0.1124	-0.34431	-0.027175
0.00316uM Selumetinib @ 48h (K2)	K2	Selumetinib	0.00316uM	48h	-0.01226	0.24774	0.325255	0.2446235	0.19097	0.58246	0.2403945	0.17086	-0.504635	-0.1707775	0.14169	0.5259075	0.049455	0.080595	-0.474835	0.80945	0.22189	0.60943	0.57164	0.395185	-0.158625
0.01uM Selumetinib @ 1h (K2)	K2	Selumetinib	0.01uM	1h	0.24905	-0.200165	0.424628	0.17122	-0.01644	0.776401	0.2162215	0.61305	0.347945	0.330625	1.2292	0.572535	0.476499	0.500745	0.105216	1.5761	0.68544	0.877585	0.47274	-0.27466	-0.1084315
0.01uM Selumetinib @ 5h (K2)	K2	Selumetinib	0.01uM	5h	-0.0296775	0.308607	0.1589835	0.1093795	0.14172	0.219155	-0.265677	0.12426	-0.007515	0.092435	-0.35718	0.2667735	0.13220755	0.16821795	0.22171	0.69215	0.17444	0.1746225	-0.1098	-0.155095	-0.2526431
0.01uM Selumetinib @ 10h (K2)	K2	Selumetinib	0.01uM	10h	0.120395	0.270711	0.2359035	0.43758	0.11654	0.635285	0.022722	0.45711	-0.1559225	0.3163265	0.46427	0.5087585	0.3017815	0.376965	0.06474735	0.73807	0.42327	0.70103	0.31464	0.673855	-0.1760977
0.01uM Selumetinib @ 24h (K2)	K2	Selumetinib	0.01uM	24h	-0.23149	-0.361	-0.084209	-0.24421	0.0515	-0.0474605	-0.0420588	-0.21938	-0.747975	-0.5674	0.7977	0.107498	0.055719	0.0352891	-0.496755	0.19175	-0.16982	0.426345	-0.09111	-0.40509	-0.2739355
0.01uM Selumetinib @ 48h (K2)	K2	Selumetinib	0.01uM	48h	0.02587	-0.084	0.23139	0.0889645	0.17162	0.394625	0.1541295	0.31956	-0.5017	-0.139201	0.41278	0.449583	0.2004105	0.151314	-0.43399	1.0141	0.34247	1.18665	0.33712	0.59181	-0.295581
0.0316uM Selumetinib @ 1h (K2)	K2	Selumetinib	0.0316uM	1h	0.109985	-1.6532	0.216115	-0.1704545	-0.065184	0.631855	0.0118985	0.27869	0.1003555	0.309639	1.0589	0.392635	0.310095	0.465715	-0.071215	1.2998	0.50358	0.734475	0.53672	-0.543535	-0.0200585
0.0316uM Selumetinib @ 5h (K2)	K2	Selumetinib	0.0316uM	5h	0.00298	-0.306565	0.136985	0.00769	0.05579	0.541345	-0.18586115	0.44929	0.004098	-0.063505	0.66831	0.250885	0.043585	0.221763	0.256743	1.0344	0.55357	0.74962	0.78952	-0.004165	-0.071353
0.0316uM Selumetinib @ 10h (K2)	K2	Selumetinib	0.0316uM	10h	-0.06194	-0.43313	0.0994	0.282679	-0.04307	0.566975	-0.055889	0.30877	-0.40519	-0.2849205	0.3913	0.394165	0.056615	0.1807651	-0.06946005	0.82603	0.5652	0.892315	0.38799	0.73888	0.044418
0.0316uM Selumetinib @ 24h (K2)	K2	Selumetinib	0.0316uM	24h	-0.224965	-0.83438	-0.007795	-0.39972	-0.20361	0.161061	-0.23778	-0.079465	-1.016865	-1.2004	0.80264	0.198965	0.1685225	0.1905525	-0.517485	0.81307	0.11654	0.859135	0.050164	-1.05659	0.206157
0.0316uM Selumetinib @ 48h (K2)	K2	Selumetinib	0.0316uM	48h	0.009305	-0.215022	0.253283	-0.032225	-0.020084	0.69558	0.181844	0.38611	-0.340595	-0.25736	0.65037	0.4543155	0.5863	0.484315	-0.36591	1.4086	0.64587	1.146415	0.54346	0.3425645	0.019635
0.1uM Selumetinib @ 1h (K2)	K2	Selumetinib	0.1uM	1h	0.168035	-2.7594	0.09105	0.05393	-0.06264	0.725675	0.131495	0.45847	0.1841216	0.199725	1.1705	0.4886	0.29694	0.621005	0.06656	1.4414	0.58803	0.4380805	0.8534	-0.336	0.04717
0.1uM Selumetinib @ 5h (K2)	K2	Selumetinib	0.1uM	5h	-0.0427895	-1.63515	0.029945	0.21198	-0.085078	0.39088	-0.28184	0.1376	-0.28403	-0.33263	-0.075104	0.112875	-0.35315	-0.007227	0.206385	0.65088	0.22822	-0.10691	0.48156	0.087637	0.14690835
0.1uM Selumetinib @ 10h (K2)	K2	Selumetinib	0.1uM	10h	-0.1644305	-1.51625	-0.057987	0.3681915	-0.013431	0.5517	-0.182025	0.097418	-0.821085	-1.18515	0.083416	0.218691	-0.342285	-0.0584705	-0.2442635	0.35922	0.25637	0.611415	0.28549	0.88389	0.267645
0.1uM Selumetinib @ 24h (K2)	K2	Selumetinib	0.1uM	24h	-0.22221	-1.662	0.021	-0.47989	-0.21562	0.53585	-0.40241	-0.30513	-1.44065	-2.141	0.25434	0.2208795	0.1962785	0.264235	-0.49429	0.87486	0.12625	1.003885	0.38817	-1.8691	0.70672
0.1uM Selumetinib @ 48h (K2)	K2	Selumetinib	0.1uM	48h	0.21484	-0.774295	0.34144	-0.01427	-0.036602	1.16534	0.3411535	0.62429	-0.373735	-0.78513	0.86708	0.7167965	1.04997	1.148965	-0.220725	2.3195	0.87556	1.496445	0.90927	-0.632135	0.530615
0.316uM Selumetinib @ 1h (K2)	K2	Selumetinib	0.316uM	1h	0.26881	-3.27745	0.45983	0.20013	-0.052827	0.949595	0.31007	0.32649	0.1843295	0.587525	1.3216	0.76455	0.423047	0.66096	0.2215685	1.6762	0.53818	0.950375	0.984	-0.334185	0.0872235
0.316uM Selumetinib @ 5h (K2)	K2	Selumetinib	0.316uM	5h	0.262515	-2.35005	0.5098485	0.564365	-0.069015	0.98251	-0.01614	0.38118	-0.147023	-0.04472	1.2027	0.545715	-0.072485	0.171155	0.54299	1.3796	0.59324	0.851912	0.73651	0.3948805	0.265545
0.316uM Selumetinib @ 10h (K2)	K2	Selumetinib	0.316uM	10h	0.161355	-2.10375	0.44704	0.715235	0.17602	1.037455	0.14027	0.30883	-0.771945	-1.09985	0.58311	0.57663	-0.209071	0.1804015	0.141023	1.1845	0.55457	1.08627	0.86424	1.088595	0.51907
0.316uM Selumetinib @ 24h (K2)	K2	Selumetinib	0.316uM	24h	-0.06883	-2.09085	0.3946855	-0.12074	0.12744	0.77244	-0.307035	-0.1021	-1.62725	-2.07795	0.32066	0.62616475	0.218055	0.310425	-0.135714	1.4345	0.26632	1.230195	0.88143	-1.9258	1.2712
0.316uM Selumetinib @ 48h (K2)	K2	Selumetinib	0.316uM	48h	0.433685	-1.25085	0.821345	0.289265	0.32371	1.8553	0.274015	0.88263	-0.59431	-1.4772	1.2982	1.167565	1.31201	1.449765	0.285695	3.0531	1.4237	2.2142	1.9029	-1.859	1.45645
1uM Selumetinib @ 1h (K2)	K2	Selumetinib	1uM	1h	0.369045	-3.6884	0.20621	0.057455	-0.074927	1.018055	0.2360135	0.27204	0.15851	0.277927	1.2615	0.536925	0.325485	0.463	0.0618545	1.4978	0.58416	1.081395	0.42915	-0.311525	-0.097631
1uM Selumetinib @ 5h (K2)	K2	Selumetinib	1uM	5h	0.540435	-3.3344	0.156175	0.342005	-0.051769	0.825495	0.18682	0.31332	-0.288665	-0.352795	1.2575	0.55244	-0.1730615	0.132131	0.538985	1.3139	0.55329	1.00745	0.66636	0.461243	0.154235
1uM Selumetinib @ 10h (K2)	K2	Selumetinib	1uM	10h	0.3178985	-3.3295	0.03218	0.29570205	0.020356	0.912615	-0.1935495	0.026617	-1.066135	-1.5182	0.19145	0.29851	-0.392845	-0.267175	-0.096856	0.63742	0.33352	0.964745	0.29829	0.998195	0.420865
1uM Selumetinib @ 24h (K2)	K2	Selumetinib	1uM	24h	0.341495	-2.625	0.30017	-0.19619	-0.052951	1.2029	-0.18117	0.13349	-1.51985	-2.1362	0.3391	0.6940365	0.16619	0.2508705	0.138965	1.4403	0.8465	1.7536	1.4786	-1.82955	1.5597
1uM Selumetinib @ 48h (K2)	K2	Selumetinib	1uM	48h	0.8179205	-1.5355	0.6211145	0.11555	0.13047	1.8091	0.21359	0.919	-0.714165	-1.28585	1.4899	1.013791	1.0515485	1.277565	0.404155	2.6691	1.722	2.23294	2.1369	-2.23925	2.0132
3.16uM Selumetinib @ 1h (K2)	K2	Selumetinib	3.16uM	1h	0.326237	-4.13565	-0.07	-0.247057	-0.097742	0.46506	0.059707	-0.057744	-0.074368	-0.089818	0.89019	0.17988	0.17088	0.29453	-0.241335	1.0981	0.31253	0.76856	0.72564	-0.453815	-0.09318
3.16uM Selumetinib @ 5h (K2)	K2	Selumetinib	3.16uM	5h	0.5677	-4.2412	0.004165	0.033485	-0.14385	0.756035	-0.088405	0.34462	-0.417275	-0.548535	0.99692	0.322225	-0.2621625	-0.012125	0.382924	0.76105	0.7153	0.99587	0.53078	0.25868	0.20021
3.16uM Selumetinib @ 10h (K2)	K2	Selumetinib	3.16uM	10h	0.28849	-4.2187	-0.172656	0.09588	-0.18333	0.611195	-0.35852	-0.20604	-1.117255	-1.78705	-0.10757	-0.00414	-0.481065	-0.377695	-0.110078	0.40613	0.20431	1.096895	0.61708	0.908685	0.63616
3.16uM Selumetinib @ 24h (K2)	K2	Selumetinib	3.16uM	24h	0.66102	-2.8505	0.22412	-0.114865	-0.1594	1.23641	-0.04251	0.26938	-1.36265	-2.0136	0.63357	0.722715	0.09715	0.318718	0.336338	1.4577	1.0479	2.13455	2.0369	-1.801	1.76555
3.16uM Selumetinib @ 48h (K2)	K2	Selumetinib	3.16uM	48h	1.157715	-1.73295	0.566595	0.05825	-0.21562	1.86045	0.19435	1.093	-0.77899	-1.33985	1.5841	1.02058	0.919884	1.235725	0.17801	2.4722	1.7269	2.37411	2.7029	-2.52235	2.26595
0.00316uM AZ-628 @ 1h (LOXIMVI)	LOXIMVI	AZ-628	0.00316uM	1h	0.31027	1.198195	0.69351	0.364155	-0.12156	0.448915	0.637965	1.8321	0.709485	0.37555	1.05942	0.860095	0.711895	0.88954	0.885919	1.5243	0.77655	0.874987	0.6846135	0.027275	0.82607
0.00316uM AZ-628 @ 5h (LOXIMVI)	LOXIMVI	AZ-628	0.00316uM	5h	-0.185314	0.40653	0.78983	0.3967835	0.022059	0.225299	0.303465	0.45565	0.40378	0.466605	0.1792581	0.374174	0.2926	0.207055	-0.12841875	0.45862	0.11581	0.4256915	0.184023	0.072815	0.376275
0.00316uM AZ-628 @ 10h (LOXIMVI)	LOXIMVI	AZ-628	0.00316uM	10h	0.14713	0.741125	1.0375	0.517885	0.069373	0.154545	0.626165	1.2775	0.906975	0.4812085	0.65274	0.637615	0.477	0.600805	0.607845	0.84599	0.71431	0.7531085	0.4201595	0.559055	0.6226285
0.00316uM AZ-628 @ 24h (LOXIMVI)	LOXIMVI	AZ-628	0.00316uM	24h	0.1031855	-0.2937495	0.47141	0.108292	0.19493	-0.1230543	0.183485	0.028469	0.225235	-0.178005	0.22198	0.0406099	0.003705	0.090329	0.083403	0.30042	0.30292	0.18585	0.135565	0.45348	0.207955
0.00316uM AZ-628 @ 48h (LOXIMVI)	LOXIMVI	AZ-628	0.00316uM	48h	0.086025	-0.310845	0.23224	-0.258325	0.1836	0.468165	0.2590325	0.81165	0.125645	-2.36165	0.2601395	0.216192	-0.487105	-0.226885	-0.1529095	0.47392	0.21547	0.45545	0.209515	-0.00187	0.39473
0.01uM AZ-628 @ 1h (LOXIMVI)	LOXIMVI	AZ-628	0.01uM	1h	-0.079005	1.231795	0.6532	0.4736695	-0.19588	0.610625	0.7083185	2.1255	0.76816	0.191676	1.150595	0.913477	0.75481	0.979725	0.771315	1.2612	0.98502	1.047896	0.745185	0.184305	0.636715
0.01uM AZ-628 @ 5h (LOXIMVI)	LOXIMVI	AZ-628	0.01uM	5h	-0.53215	0.547263	1.0772	0.447691	-0.13244	0.4487904	0.4525465	1.1536	0.6993605	0.3337275	0.4238748	0.605947	0.44492	0.4271395	0.14651	0.93684	0.66913	0.606999	0.34281	0.263085	0.38806
0.01uM AZ-628 @ 10h (LOXIMVI)	LOXIMVI	AZ-628	0.01uM	10h	-0.38886	0.5410215	1.1598	0.504745	-0.065854	0.303015	0.606925	1.5524	0.94282	0.346387	0.611723	0.6333535	0.32216805	0.621363	0.692488	1.0095	1.0368	0.758768	0.464878	0.65583	0.4503519
0.01uM AZ-628 @ 24h (LOXIMVI)	LOXIMVI	AZ-628	0.01uM	24h	-0.42965	-0.29761	0.68811	0.1085835	0.030011	-0.04433	0.2451415	0.4651	0.3027675	-0.42044	0.30051	0.290962	-0.149425	0.0210935	0.195931	0.34435	0.51861	0.37522	0.1293705	0.373625	0.1030635
0.01uM AZ-628 @ 48h (LOXIMVI)	LOXIMVI	AZ-628	0.01uM	48h	-0.36624	-0.40272	0.17993	-0.299034	0.027979	0.198015	0.1253485	0.47391	-0.062705	-2.26315	0.1219635	0.15491345	-0.786435	-0.405325	-0.24272	0.18467	0.32881	0.396205	0.05855545	-0.22276	0.03189
0.0316uM AZ-628 @ 1h (LOXIMVI)	LOXIMVI	AZ-628	0.0316uM	1h	-0.43713	0.824345	0.53169	0.390688	-0.1817	0.68602	0.6512885	2.186	0.7836	0.11800905	1.20611	0.8728815	0.7132	0.979435	0.54929	1.1438	0.97036	1.065946	0.718425	0.3985875	0.52687
0.0316uM AZ-628 @ 5h (LOXIMVI)	LOXIMVI	AZ-628	0.0316uM	5h	-1.018905	0.1784	1.1057	0.478507	-0.12316	0.73754	0.50514547	1.4194	0.709537	0.19336	0.532353	0.6373235	0.3151725	0.450784	0.12481	0.60659	0.91013	0.8837405	0.554487	0.517345	0.38158
0.0316uM AZ-628 @ 10h (LOXIMVI)	LOXIMVI	AZ-628	0.0316uM	10h	-0.90699	0.094255	1.0806	0.4019655	-0.12882	0.335345	0.604445	1.5513	0.8353515	0.101999	0.6196595	0.6233275	0.162135	0.4732045	0.507385	0.60191	1.0624	0.7945365	0.4708055	0.77209	0.3677945
0.0316uM AZ-628 @ 24h (LOXIMVI)	LOXIMVI	AZ-628	0.0316uM	24h	-1.039875	-0.62399	0.55634	0.040864	-0.08654	0.1362735	0.2296895	0.58996	0.223205	-0.71333	0.2942955	0.2774535	-0.386885	-0.15631	0.0965	0.049826	0.65018	0.4613625	0.1912355	0.1674915	0.09095
0.0316uM AZ-628 @ 48h (LOXIMVI)	LOXIMVI	AZ-628	0.0316uM	48h	-1.081055	-0.78754	0.15529	-0.294905	-0.076971	-0.0182295	0.0796615	0.37684	-0.1314665	-1.7961	0.10659	0.10335	-0.972695	-0.36715	-0.297255	-0.052837	0.6211	0.45298	0.150031	-0.4276	0.020795
0.1uM AZ-628 @ 1h (LOXIMVI)	LOXIMVI	AZ-628	0.1uM	1h	-0.707105	0.20862	0.63135	0.482455	-0.11427	0.819675	0.496988	2.0665	0.79759	0.300646	0.908105	0.6686095	0.649045	1.08576	0.175205	1.3568	0.84585	1.041555	0.80741895	0.41178	0.6574525
0.1uM AZ-628 @ 5h (LOXIMVI)	LOXIMVI	AZ-628	0.1uM	5h	-1.34615	-0.37069	1.0955	0.481975	-0.071003	0.8639	0.39466805	1.5562	0.81062505	0.263191	0.466679	0.5681455	0.111275	0.587739	0.03835	0.67451	0.9437	0.8138805	0.5616915	0.502235	0.413665
0.1uM AZ-628 @ 10h (LOXIMVI)	LOXIMVI	AZ-628	0.1uM	10h	-1.2787	-0.42619	1.0034	0.4432522	-0.048716	0.289402	0.358025	1.3356	0.7875735	0.083995	0.412519	0.5193815	0.01207	0.5518265	0.21562	0.56867	0.93509	0.768337	0.556348	0.809165	0.433785
0.1uM AZ-628 @ 24h (LOXIMVI)	LOXIMVI	AZ-628	0.1uM	24h	-1.55625	-0.98428	0.40411	-0.030735	-0.027378	0.1903585	0.067178	0.62761	0.13553	-0.81933	0.3170665	0.2065205	-0.56618	-0.1625575	-0.253427	0.067217	0.62129	0.421825	0.2218565	-0.2243015	0.28128905
0.1uM AZ-628 @ 48h (LOXIMVI)	LOXIMVI	AZ-628	0.1uM	48h	-1.64275	-1.120555	0.072363	-0.2877	-0.084664	0.028432	-0.027935	0.32586	-0.1401585	-1.39813	0.104358	0.128091	-0.926995	-0.1947	-0.51522	-0.13651	0.69336	0.560185	0.26915	-0.62102	0.18809
0.316uM AZ-628 @ 1h (LOXIMVI)	LOXIMVI	AZ-628	0.316uM	1h	-1.16615	-0.684125	0.64472	0.434889	-0.10125	0.81044	0.51715495	1.2616	0.54666	0.163981	0.843245	0.68786	0.46424	1.086705	-0.57078	0.9911	0.7189	0.790343	0.592219	0.2677595	0.846103
0.316uM AZ-628 @ 5h (LOXIMVI)	LOXIMVI	AZ-628	0.316uM	5h	-1.4162	-0.69726	1.1573	0.3925125	-0.015788	0.83284	0.680115	1.5264	0.877525	0.1076525	0.6381	0.7865525	0.2313225	1.2521	0.01652	1.1543	1.162	1.012005	0.6169205	0.480145	0.6193455
0.316uM AZ-628 @ 10h (LOXIMVI)	LOXIMVI	AZ-628	0.316uM	10h	-1.39135	-0.844075	1.0079	0.3083995	0.0059205	0.3141638	0.5984335	1.2358	0.765225	-0.18603	0.5077945	0.630239	0.06468	1.036465	0.053965	0.83364	1.0578	0.830735	0.6406995	0.721465	0.70127
0.316uM AZ-628 @ 24h (LOXIMVI)	LOXIMVI	AZ-628	0.316uM	24h	-1.64395	-1.08359	0.35584	-0.1428427	0.05871	0.252154	0.352275	0.86283	0.230465	-1.05728	0.51977	0.3627035	-0.45731	0.369144	-0.2447775	0.62836	0.79732	0.73429	0.3446815	-0.537285	0.721045
0.316uM AZ-628 @ 48h (LOXIMVI)	LOXIMVI	AZ-628	0.316uM	48h	-1.7412	-1.139335	0.13495	-0.298615	0.05667	0.17433	0.2634895	0.83312	0.08607	-1.38732	0.48396	0.206682	-0.699315	0.432915	-0.373515	0.52765	0.78561	0.879205	0.336045	-0.934815	0.66423
1uM AZ-628 @ 1h (LOXIMVI)	LOXIMVI	AZ-628	1uM	1h	-1.51475	-0.842325	0.44219	0.339763	-0.19616	0.81376	0.6020135	1.4652	0.61166	0.15727	0.90231	0.6587155	0.50825	1.039665	-0.543315	1.1295	0.78565	0.7639675	0.614795	0.397545	0.45425
1uM AZ-628 @ 5h (LOXIMVI)	LOXIMVI	AZ-628	1uM	5h	-1.769	-1.127225	0.94167	0.3339875	-0.1734	0.657085	0.4819925	1.432	0.709222	-0.05901685	0.48307645	0.646732	0.10445	1.58113	0.23315	0.77207	0.92074	0.700027	0.5063755	0.422085	0.376245
1uM AZ-628 @ 10h (LOXIMVI)	LOXIMVI	AZ-628	1uM	10h	-1.78805	-1.18855	0.84408	0.24547	-0.044795	0.14038	0.36145165	1.0333	0.620599	-0.355855	0.461457	0.508682	-0.0507935	1.39137	0.3307	0.63178	0.88514	0.644195	0.477575	0.61061	0.445685
1uM AZ-628 @ 24h (LOXIMVI)	LOXIMVI	AZ-628	1uM	24h	-1.97775	-1.5164	0.061798	-0.34919	-0.10695	0.238107	0.04356	0.54451	-0.1569165	-1.502215	0.476745	0.2000555	-0.70123	0.49512	-0.059205	0.19555	0.55554	0.52833	0.1213835	-1.45955	0.536325
1uM AZ-628 @ 48h (LOXIMVI)	LOXIMVI	AZ-628	1uM	48h	-2.0861	-1.40845	-0.16594	-0.486265	-0.13785	0.0775655	0.01526	0.38756	-0.33358	-1.74332	0.72416	0.130688	-0.898765	0.546075	-0.301055	0.2107	0.58588	0.723285	-0.072007	-1.9916	0.608835
3.16uM AZ-628 @ 1h (LOXIMVI)	LOXIMVI	AZ-628	3.16uM	1h	-1.80625	-1.5148	0.22372	0.278566	-0.17522	0.864505	0.3552235	0.68874	0.281206	0.199747	0.766985	0.3742565	0.255829	0.58017	-0.950755	0.42158	0.21663	0.48780905	0.4107715	0.266444	0.19597
3.16uM AZ-628 @ 5h (LOXIMVI)	LOXIMVI	AZ-628	3.16uM	5h	-1.7979	-1.1866	0.84516	0.312433	-0.084464	0.84732	0.4821085	1.3043	0.605692	0.0205335	0.492989	0.6350115	0.232403	1.855315	0.6174545	0.60041	0.9074	0.777067	0.454785	0.40906	0.21001
3.16uM AZ-628 @ 10h (LOXIMVI)	LOXIMVI	AZ-628	3.16uM	10h	-2.0218	-1.766	0.48631	0.00677	-0.12703	0.052846	0.10858605	0.23964	0.16301	-0.4959	0.434505	0.294382	-0.229835	1.41107	0.284781	0.0053283	0.36202	0.27890695	0.2489155	0.45388	0.25069
3.16uM AZ-628 @ 24h (LOXIMVI)	LOXIMVI	AZ-628	3.16uM	24h	-2.06595	-1.69435	-0.086303	-0.414125	-0.22519	0.251366	-0.016465	0.36416	-0.261455	-1.688695	0.835965	0.1500775	-0.819165	0.58597	0.28739	-0.0057072	0.52766	0.60592	0.125805	-2.03825	0.64039
3.16uM AZ-628 @ 48h (LOXIMVI)	LOXIMVI	AZ-628	3.16uM	48h	-2.30755	-1.71785	-0.49722	-0.612115	-0.18223	-0.061497	-0.18842	-0.23659	-0.74041	-2.20875	0.897745	-0.0874465	-1.11716	0.36969	-0.32846	-0.066516	0.17543	0.693885	-0.01875	-3.0478	0.727885
0.00316uM PLX-4720 @ 1h (LOXIMVI)	LOXIMVI	PLX-4720	0.00316uM	1h	0.339515	1.15819	0.68896	0.334285	-0.12883	0.50337	0.6969655	1.9033	0.75210455	0.386865	1.021385	0.8317785	0.72564	0.858685	0.9895175	1.2694	0.76659	0.96517	0.637585	0.01981	0.8881925
