#1.3																									
1750	21	4	0																						
id	Cell Line	Perturbagen	Concentration	Timepoint	pMEK(S217/221)	pERK(T202/Y204)	p-p90RSK(S380)	p-p90RSK(T573)	p-AKT(T308)	p-AKT(S473)	p-mTOR(S2448)	p-p70S6K(T421/S424)	p-p70S6K(T389)	p-S6(S235/236)	p-AMPK(T172)	p-JNK(T183/Y185)	Total c-Jun	p-cJun(S63)	p-P38(T180/Y182)	p-HSP27(S82)	p-NFKB(S536)	Bim	cPARP	p-Histone H3(S10)	p27Kip1
0.316uM AZ-628 @ 1h (C32)	C32	AZ-628	0.316uM	1h	-1.3301	-3.0654	nan	-0.13031	0.23083	0.38682	nan	-0.35208	nan	-0.44015	0.76125	0.17923	0.074851	nan	-0.074197	nan	0.13391	0.5426	0.061921	-0.38762	0.26785
0.316uM AZ-628 @ 5h (C32)	C32	AZ-628	0.316uM	5h	-1.2547	-2.6845	nan	0.58946	0.41669	0.52341	nan	0.061983	nan	-1.0036	0.67768	0.31605	-0.46553	nan	0.15366	nan	0.048772	0.7634	0.21585	0.64385	0.37551
0.316uM AZ-628 @ 10h (C32)	C32	AZ-628	0.316uM	10h	-1.3149	-2.6436	nan	0.45842	0.31786	0.48968	nan	-0.035228	nan	-1.4453	0.33749	0.31603	-0.80662	nan	0.076941	nan	-0.27563	0.5839	0.16163	0.73697	0.58975
0.316uM AZ-628 @ 24h (C32)	C32	AZ-628	0.316uM	24h	-1.4669	-2.5502	nan	-0.12287	0.48938	0.68281	nan	-0.64942	nan	-2.246	0.40015	0.13308	-0.55712	nan	0.15366	nan	-0.55671	0.83216	0.29926	-1.5929	0.98773
0.316uM AZ-628 @ 48h (C32)	C32	AZ-628	0.316uM	48h	-1.0324	-2.134	nan	0.71915	0.83534	0.75653	nan	-0.61964	nan	-2.0419	0.61804	0.2761	0.14572	nan	0.40756	nan	-0.71921	1.5141	1.1483	-2.2449	1.0032
1uM AZ-628 @ 1h (C32)	C32	AZ-628	1uM	1h	-1.9627	-3.4194	nan	-0.18417	0.37904	0.811	nan	-0.36944	nan	-0.57492	0.80004	0.054861	-0.2235	nan	-0.055116	nan	0.057159	0.51525	0.0063628	-0.21119	-0.013046
1uM AZ-628 @ 5h (C32)	C32	AZ-628	1uM	5h	-1.7633	-3.2469	nan	0.18225	0.36356	0.67439	nan	-0.052484	nan	-0.97623	0.77968	0.26652	-0.49389	nan	0.0044411	nan	-0.14439	0.82021	0.032071	0.77161	0.2194
1uM AZ-628 @ 10h (C32)	C32	AZ-628	1uM	10h	-1.7466	-3.1352	nan	0.4388	0.26837	0.54609	nan	-0.30428	nan	-1.674	0.40015	0.18354	-1.0582	nan	0.048692	nan	-0.35589	0.66687	0.059983	0.80681	0.50252
1uM AZ-628 @ 24h (C32)	C32	AZ-628	1uM	24h	-1.7497	-3.1352	nan	-0.41995	0.54848	0.5157	nan	-0.90355	nan	-2.3343	0.63765	0.075872	-1.1647	nan	-0.02789	nan	-0.44758	0.779	0.68341	-1.8429	0.96822
1uM AZ-628 @ 48h (C32)	C32	AZ-628	1uM	48h	-0.75095	-2.3219	nan	0.55356	0.66896	0.11197	nan	-0.61388	nan	-2.182	1.1371	-0.24419	-0.66547	nan	0.055242	nan	-1.157	1.1688	1.8023	-1.9983	1.2553
3.16uM AZ-628 @ 1h (C32)	C32	AZ-628	3.16uM	1h	-1.9473	-3.3321	nan	-0.65359	0.68304	1.3325	nan	-0.52989	nan	-0.78964	1.1526	-0.23403	-0.20399	nan	-0.14515	nan	0.18101	0.56548	-0.047433	-0.79494	0.19983
3.16uM AZ-628 @ 5h (C32)	C32	AZ-628	3.16uM	5h	-1.8581	-3.4733	nan	-0.006437	0.33424	0.86228	nan	-0.12228	nan	-1.0072	0.65599	-0.10264	-0.44544	nan	-0.085273	nan	-0.2855	0.39675	-0.12744	0.77712	-0.13983
3.16uM AZ-628 @ 10h (C32)	C32	AZ-628	3.16uM	10h	-2.113	-3.4732	nan	0.080608	0.27044	0.71695	nan	-0.14036	nan	-1.6828	0.31026	-0.25155	-1.1332	nan	-0.28335	nan	-0.4985	0.41825	-0.020504	1.0875	0.43827
3.16uM AZ-628 @ 24h (C32)	C32	AZ-628	3.16uM	24h	-2.1758	-3.3923	nan	-0.87875	0.48313	0.57763	nan	-0.92833	nan	-2.6975	0.52808	-0.062717	-1.2356	nan	-0.1085	nan	-0.74016	0.70837	0.89598	-1.6513	0.78974
3.16uM AZ-628 @ 48h (C32)	C32	AZ-628	3.16uM	48h	-1.9523	-2.7625	nan	-0.25137	0.81552	0.018494	nan	-1.371	nan	-3.8177	0.13925	-0.24419	-1.0458	nan	-0.99251	nan	-1.2507	0.0284	1.6552	-1.4031	0.7054
0.00316uM PLX-4720 @ 1h (C32)	C32	PLX-4720	0.00316uM	1h	0.27725	0.22239	nan	-0.099666	0.31251	0.34915	nan	-0.058622	nan	0.24892	0.41309	0.33845	0.28178	nan	0.35625	nan	0.2864	0.20886	0.15674	-0.74437	0.21847
0.00316uM PLX-4720 @ 5h (C32)	C32	PLX-4720	0.00316uM	5h	0.33901	0.10692	nan	0.063881	0.082227	0.00085972	nan	0.26628	nan	0.39822	0.46334	0.36868	0.2677	nan	0.2398	nan	0.4654	0.11704	0.044461	0.080551	0.32601
0.00316uM PLX-4720 @ 10h (C32)	C32	PLX-4720	0.00316uM	10h	0.15806	0.053458	nan	0.48076	0.14543	-0.13535	nan	0.2663	nan	0.14486	0.12429	0.29411	0.27863	nan	0.12137	nan	0.051644	0.27815	0.090316	0.37834	0.30357
0.00316uM PLX-4720 @ 24h (C32)	C32	PLX-4720	0.00316uM	24h	-0.01167	-0.23638	nan	0.15701	0.033923	0.0079101	nan	-0.066511	nan	-0.19621	-0.1821	0.033047	0.028724	nan	-2.42E-06	nan	-0.47568	-0.18854	0.07821	-0.39537	0.17854
0.00316uM PLX-4720 @ 48h (C32)	C32	PLX-4720	0.00316uM	48h	-0.16328	-0.2801	nan	0.33604	0.18982	0.50819	nan	0.016314	nan	-0.83645	-0.25179	0.19617	-0.090022	nan	0.079684	nan	-0.64352	0.11707	0.26225	0.18057	0.01561
0.01uM PLX-4720 @ 1h (C32)	C32	PLX-4720	0.01uM	1h	-0.09074	0	nan	-0.3391	0.23789	0.36595	nan	-0.097042	nan	0.051662	0.53474	0.32077	0.0051802	nan	0.22178	nan	0.21189	0.56822	0.32385	-0.3177	0.35474
0.01uM PLX-4720 @ 5h (C32)	C32	PLX-4720	0.01uM	5h	-0.031897	0.053458	nan	-0.01302	0.075973	0.14952	nan	0.094356	nan	0.055665	0.37467	0.28328	-0.0051617	nan	0.35408	nan	0.32124	0.25283	0.084963	0.26373	0.19825
0.01uM PLX-4720 @ 10h (C32)	C32	PLX-4720	0.01uM	10h	-0.13963	0.053458	nan	0.19815	0.033536	-0.015684	nan	0.09554	nan	-0.12493	0.27333	0.21651	0.055343	nan	0.10084	nan	0.087363	0.37804	-0.086797	0.39748	0.23344
0.01uM PLX-4720 @ 24h (C32)	C32	PLX-4720	0.01uM	24h	-0.1476	-0.19265	nan	-0.22742	-0.067974	0.16992	nan	-0.30756	nan	-0.61678	0.019656	0.027236	-0.20213	nan	-0.1396	nan	-0.31723	0.23612	-0.12511	-0.3428	0.095396
0.01uM PLX-4720 @ 48h (C32)	C32	PLX-4720	0.01uM	48h	-0.35643	-0.19265	nan	-0.17304	0.30806	0.72586	nan	-0.15252	nan	-1.2705	-0.33293	0.11068	-0.24215	nan	-0.13313	nan	-0.58862	0.30393	-0.11396	0.25969	-0.081807
0.0316uM PLX-4720 @ 1h (C32)	C32	PLX-4720	0.0316uM	1h	-0.41407	-0.58496	nan	-0.13645	0.096837	0.17291	nan	-0.32257	nan	-0.27027	0.31688	-0.21391	-0.0050697	nan	0.0021783	nan	0.18787	0.55287	0.016304	-0.27299	0.15341
0.0316uM PLX-4720 @ 5h (C32)	C32	PLX-4720	0.0316uM	5h	-0.4325	-0.23638	nan	-0.17973	0.17617	0.20282	nan	0.060852	nan	-0.15091	0.52381	0.021971	-0.03575	nan	0.10764	nan	0.082227	0.28961	0.15458	0.45519	0.014274
0.0316uM PLX-4720 @ 10h (C32)	C32	PLX-4720	0.0316uM	10h	-0.70058	-0.28011	nan	-0.10602	0.14272	0.14938	nan	-0.081762	nan	-0.49916	0.47432	0.075899	-0.18422	nan	-0.012196	nan	-0.036779	0.21233	0.07229	0.49291	0.065206
0.0316uM PLX-4720 @ 24h (C32)	C32	PLX-4720	0.0316uM	24h	-0.82067	-0.44057	nan	-0.55735	0.10606	0.34577	nan	-0.31217	nan	-0.9744	0.20432	-0.099906	-0.10598	nan	-0.30697	nan	-0.41042	0.031648	-0.033566	-0.28549	0.22338
0.0316uM PLX-4720 @ 48h (C32)	C32	PLX-4720	0.0316uM	48h	-0.83701	-0.36033	nan	-0.38607	0.23569	0.85755	nan	-0.071126	nan	-1.2703	-0.057331	0.088384	0.10744	nan	0.12521	nan	-0.60215	0.28668	-0.15122	0.15549	-0.034322
0.1uM PLX-4720 @ 1h (C32)	C32	PLX-4720	0.1uM	1h	-0.71158	-1.9731	nan	-0.14049	0.051697	0.19716	nan	-0.20234	nan	-0.31132	0.49492	-0.22376	0.057741	nan	0.068978	nan	0.09724	0.33015	-0.018285	-0.14683	0.2538
0.1uM PLX-4720 @ 5h (C32)	C32	PLX-4720	0.1uM	5h	-0.60239	-1.2364	nan	0.33097	0.073141	0.27122	nan	-0.14632	nan	-0.53784	0.41016	-0.24405	-0.30926	nan	0.17388	nan	0.12303	0.38721	0.024954	0.49304	0.25031
0.1uM PLX-4720 @ 10h (C32)	C32	PLX-4720	0.1uM	10h	-0.89337	-1.2586	nan	0.0087736	0.29132	0.3728	nan	-0.21623	nan	-1.2073	0.20525	-0.22523	-0.36331	nan	0.041754	nan	-0.148	0.37197	0.015631	0.58157	0.36391
0.1uM PLX-4720 @ 24h (C32)	C32	PLX-4720	0.1uM	24h	-0.95533	-1.237	nan	-0.36336	0.25191	0.65771	nan	-0.55549	nan	-1.8771	0.16759	-0.42401	-0.15433	nan	-0.045981	nan	-0.27687	0.4026	-0.11343	-0.49269	0.40779
0.1uM PLX-4720 @ 48h (C32)	C32	PLX-4720	0.1uM	48h	-1.0028	-1.0996	nan	-0.28327	0.41092	0.82926	nan	-0.43466	nan	-2.1419	-0.45857	-0.10232	0.45172	nan	-0.001149	nan	-0.14764	0.90022	0.2101	-1.0385	0.32831
0.316uM PLX-4720 @ 1h (C32)	C32	PLX-4720	0.316uM	1h	-1.1492	-2.9129	nan	0.20387	0.18538	0.32981	nan	-0.29754	nan	-0.55812	0.56989	0.11718	-0.0025001	nan	0.012265	nan	0.078003	0.49006	-0.10755	-0.22513	0.19332
0.316uM PLX-4720 @ 5h (C32)	C32	PLX-4720	0.316uM	5h	-1.1842	-2.2257	nan	0.34893	0.19572	0.4713	nan	0.010527	nan	-0.89085	0.77789	0.30138	-0.72606	nan	0.2349	nan	0.15862	0.5733	0.015308	0.53178	0.32968
0.316uM PLX-4720 @ 10h (C32)	C32	PLX-4720	0.316uM	10h	-1.2246	-2.2035	nan	0.64572	0.43262	0.47861	nan	-0.10319	nan	-1.3364	0.42615	0.21649	-0.9571	nan	0.14331	nan	-0.14439	0.42758	0.068329	0.64389	0.52578
0.316uM PLX-4720 @ 24h (C32)	C32	PLX-4720	0.316uM	24h	-1.3659	-2.3424	nan	-0.024829	0.49907	0.68281	nan	-0.57303	nan	-1.8572	0.33599	0.19265	-0.65067	nan	0.20875	nan	-0.24257	0.75899	0.18249	-1.2083	0.89674
0.316uM PLX-4720 @ 48h (C32)	C32	PLX-4720	0.316uM	48h	-1.3024	-1.9603	nan	0.20032	0.78881	0.91097	nan	-0.65371	nan	-2.1131	0.56945	0.3916	0.1953	nan	0.30207	nan	-0.39352	1.2234	1.0944	-1.9618	0.936
1uM PLX-4720 @ 1h (C32)	C32	PLX-4720	1uM	1h	-1.7451	-3.3474	nan	-0.34721	0.016418	0.33912	nan	-0.40882	nan	-0.63015	0.49876	0.032971	-0.26267	nan	0.016349	nan	-0.0039909	0.43735	-0.12336	-0.21994	0.066295
1uM PLX-4720 @ 5h (C32)	C32	PLX-4720	1uM	5h	-1.7031	-3.0874	nan	0.31698	0.15754	0.41767	nan	-0.025706	nan	-1.1929	0.65138	0.25833	-1.0986	nan	0.34453	nan	-0.054887	0.6454	-0.09927	0.73132	0.32841
1uM PLX-4720 @ 10h (C32)	C32	PLX-4720	1uM	10h	-1.5373	-2.8648	nan	0.20845	0.23972	0.36257	nan	-0.26967	nan	-1.6207	0.47144	0.19609	-1.5615	nan	0.17729	nan	-0.30151	0.65633	0.01274	0.80077	0.47649
1uM PLX-4720 @ 24h (C32)	C32	PLX-4720	1uM	24h	-1.4605	-2.6602	nan	-0.36432	0.41453	0.52713	nan	-0.80782	nan	-2.5643	0.51542	0.13634	-1.2746	nan	0.061711	nan	-0.27989	0.95402	0.42575	-1.5034	1.0728
1uM PLX-4720 @ 48h (C32)	C32	PLX-4720	1uM	48h	-1.105	-2.0377	nan	-0.48613	0.85002	0.83414	nan	-0.96657	nan	-2.6187	0.8856	0.38385	-0.18803	nan	0.25709	nan	-0.82748	1.4609	1.4363	-2.386	0.91094
3.16uM PLX-4720 @ 1h (C32)	C32	PLX-4720	3.16uM	1h	-1.7264	-3.5191	nan	-0.63219	0.19284	0.48265	nan	-0.39956	nan	-1.1013	0.47958	-0.29093	-0.26645	nan	-0.17658	nan	-0.01957	0.51215	0.15882	-0.36144	0.035476
3.16uM PLX-4720 @ 5h (C32)	C32	PLX-4720	3.16uM	5h	-2.0387	-3.4118	nan	-0.28749	0.053418	0.40717	nan	-0.16119	nan	-1.4278	0.63166	-0.085899	-1.2794	nan	0.21217	nan	0.11215	0.37197	0.0090321	0.73136	0.27031
3.16uM PLX-4720 @ 10h (C32)	C32	PLX-4720	3.16uM	10h	-2.0259	-3.2422	nan	-0.043101	0.20716	0.35925	nan	-0.398	nan	-1.9294	0.32731	-0.080479	-1.9883	nan	-0.15573	nan	-0.30504	0.56471	0.25154	0.88583	0.29819
3.16uM PLX-4720 @ 24h (C32)	C32	PLX-4720	3.16uM	24h	-1.9406	-2.8365	nan	-0.97246	0.40505	0.29656	nan	-0.90883	nan	-2.4925	0.7846	0.06968	-1.9844	nan	-0.070762	nan	-0.39741	0.85331	1.354	-1.3651	1.0669
3.16uM PLX-4720 @ 48h (C32)	C32	PLX-4720	3.16uM	48h	-1.586	-2.4865	nan	-0.55697	0.67179	0.63761	nan	-1.1581	nan	-2.9588	0.79312	0.072741	-0.71664	nan	-0.18022	nan	-1.3636	1.3307	1.8115	-2.6568	0.62178
0.00316uM PLX4032 @ 1h (C32)	C32	PLX4032	0.00316uM	1h	0.24555	0.22239	nan	-0.14172	0.28875	0.3662	nan	0.0395	nan	0.13678	0.46469	0.36473	0.37607	nan	0.30477	nan	0.30851	0.4437	0.26532	-0.78438	0.29756
0.00316uM PLX4032 @ 5h (C32)	C32	PLX4032	0.00316uM	5h	0.33893	0.16465	nan	0.2567	0.11441	0.092362	nan	0.30054	nan	0.39822	0.53653	0.31273	0.36091	nan	0.29555	nan	0.56513	0.33312	0.10264	0.031144	0.37302
0.00316uM PLX4032 @ 10h (C32)	C32	PLX4032	0.00316uM	10h	0.16129	0.10692	nan	0.48561	0.303	-0.09525	nan	0.27018	nan	0.1738	0.18293	0.33084	0.34933	nan	0.10465	nan	0.15815	0.22239	0.28865	0.41869	0.44858
0.00316uM PLX4032 @ 24h (C32)	C32	PLX4032	0.00316uM	24h	-0.017487	-0.19265	nan	0.11992	0.084288	0.061739	nan	0.026414	nan	-0.21191	-0.1134	0.023859	0.1185	nan	-0.04829	nan	-0.32908	-0.12522	0.10253	-0.40567	0.19445
0.00316uM PLX4032 @ 48h (C32)	C32	PLX4032	0.00316uM	48h	-0.15547	-0.44056	nan	0.25629	0.14162	0.5313	nan	-0.10901	nan	-1.0251	-0.37147	0.13639	-0.12493	nan	0.042684	nan	-0.54697	0.035569	0.056025	0.069542	0.053059
0.01uM PLX4032 @ 1h (C32)	C32	PLX4032	0.01uM	1h	-0.1473	0	nan	-0.18328	0.17035	0.32589	nan	-0.17101	nan	-0.059836	0.6017	0.39166	0.010381	nan	0.20229	nan	0.24319	0.48544	0.20408	-0.41843	0.078839
0.01uM PLX4032 @ 5h (C32)	C32	PLX4032	0.01uM	5h	-0.05453	0.10692	nan	0.083322	0.11162	0.23338	nan	0.087056	nan	0.094013	0.41049	0.31292	0.060888	nan	0.12877	nan	0.34421	0.12738	0.093328	0.25558	0.080369
0.01uM PLX4032 @ 10h (C32)	C32	PLX4032	0.01uM	10h	-0.18161	0.053458	nan	0.014382	0.1303	0.078332	nan	0.083563	nan	-0.091296	0.33591	0.269	0.047306	nan	-2.42E-06	nan	0.14948	0.27023	0.059956	0.31369	0.23399
0.01uM PLX4032 @ 24h (C32)	C32	PLX4032	0.01uM	24h	-0.20977	0	nan	-0.11301	-0.00036454	0.16721	nan	-0.094119	nan	-0.54079	0.057755	0.11696	-0.096244	nan	0.038833	nan	-0.3108	0.13236	-0.10928	-0.31837	0.19889
0.01uM PLX4032 @ 48h (C32)	C32	PLX4032	0.01uM	48h	-0.29683	-0.32133	nan	-0.23966	0.15699	0.70411	nan	-0.29175	nan	-1.404	-0.3018	0.0095835	-0.38083	nan	-0.061837	nan	-0.56885	0.080981	-0.29127	0.30974	-0.17411
0.0316uM PLX4032 @ 1h (C32)	C32	PLX4032	0.0316uM	1h	-0.50457	-0.51457	nan	-0.53334	0.096895	0.19397	nan	-0.23433	nan	-0.13132	0.65507	-0.14855	0.029197	nan	-0.06143	nan	0.070859	0.46589	-0.16074	-0.1875	0.32289
0.0316uM PLX4032 @ 5h (C32)	C32	PLX4032	0.0316uM	5h	-0.45409	-0.19265	nan	-0.31277	0.13107	0.30303	nan	0.08342	nan	-0.16981	0.54359	0.02667	-0.079139	nan	0.11828	nan	0.25745	0.40893	0.18017	0.36595	0.17395
0.0316uM PLX4032 @ 10h (C32)	C32	PLX4032	0.0316uM	10h	-0.67751	-0.28011	nan	-0.062146	0.13226	0.23648	nan	-0.035215	nan	-0.5728	0.25447	0.032895	-0.15026	nan	-0.25303	nan	-0.054892	0.18997	0.15972	0.54645	0.13807
0.0316uM PLX4032 @ 24h (C32)	C32	PLX4032	0.0316uM	24h	-0.81904	-0.44057	nan	-0.47246	0.19179	0.40022	nan	-0.24945	nan	-1.0429	0.047631	-0.13535	-0.29251	nan	-0.32117	nan	-0.57829	0.1375	0.28373	-0.25737	-0.0066213
0.0316uM PLX4032 @ 48h (C32)	C32	PLX4032	0.0316uM	48h	-0.94977	-0.54977	nan	-0.40626	-0.022635	0.73051	nan	-0.26726	nan	-1.4691	-0.32192	-0.31196	-0.26924	nan	-0.51378	nan	-0.69633	-0.047928	-0.16799	0.16748	-0.37859
0.1uM PLX4032 @ 1h (C32)	C32	PLX4032	0.1uM	1h	-0.7617	-1.8651	nan	0.13879	0.094118	0.1064	nan	-0.33842	nan	-0.42406	0.42889	-0.16437	0.11734	nan	0.19511	nan	0.072822	0.28961	0.10457	-0.11417	0.19445
0.1uM PLX4032 @ 5h (C32)	C32	PLX4032	0.1uM	5h	-0.73155	-1.1697	nan	0.2977	0.13785	0.32917	nan	-0.11045	nan	-0.676	0.41151	-0.1984	-0.38367	nan	0.15006	nan	0.22737	0.34792	0.023018	0.49291	0.21955
0.1uM PLX4032 @ 10h (C32)	C32	PLX4032	0.1uM	10h	-0.91932	-1.2801	nan	-0.0048607	0.30612	0.40732	nan	-0.29068	nan	-1.2582	0.22223	-0.219	-0.42662	nan	-0.072614	nan	-0.21099	0.36051	0.07821	0.45531	0.19785
0.1uM PLX4032 @ 24h (C32)	C32	PLX4032	0.1uM	24h	-0.95079	-1.2801	nan	-0.36764	0.35377	0.66613	nan	-0.59894	nan	-1.965	0.14573	-0.35003	-0.39316	nan	-0.064485	nan	-0.1552	0.34792	0.035231	-0.59265	0.30007
0.1uM PLX4032 @ 48h (C32)	C32	PLX4032	0.1uM	48h	-0.85145	-1.8684	nan	-0.40806	0.082335	0.49984	nan	-0.44912	nan	-1.1113	0.010047	-0.3742	0.094205	nan	-0.022544	nan	-0.16058	0.32055	-0.11397	-0.24881	0.13715
0.316uM PLX4032 @ 1h (C32)	C32	PLX4032	0.316uM	1h	-1	-2.6923	nan	-0.0026808	0.15136	0.34009	nan	-0.24116	nan	-0.47972	0.61042	0.14002	0.096215	nan	0.18838	nan	0.11218	0.3601	0.12366	-0.18456	0.25755
0.316uM PLX4032 @ 5h (C32)	C32	PLX4032	0.316uM	5h	-1.141	-2.237	nan	0.39344	0.26103	0.49401	nan	0.12347	nan	-0.85923	0.77455	0.31239	-0.72607	nan	0.40512	nan	0.1672	0.59436	0.065574	0.69789	0.50798
0.316uM PLX4032 @ 10h (C32)	C32	PLX4032	0.316uM	10h	-1.3379	-2.2148	nan	0.6125	0.36486	0.57712	nan	-0.061806	nan	-1.3732	0.46876	0.2553	-1.0212	nan	0.15393	nan	-0.2657	0.49539	0.11083	0.75408	0.56717
0.316uM PLX4032 @ 24h (C32)	C32	PLX4032	0.316uM	24h	-1.4227	-2.2148	nan	-0.074939	0.6101	0.78777	nan	-0.60961	nan	-2.1332	0.37935	0.15595	-0.61903	nan	0.15574	nan	-0.43784	0.84893	0.23364	-1.3798	0.88619
