	('measuredProteinValue 0',)
('108101 0', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.674792573
('108102 1', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.909280304
('108103 2', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.679432532
('108104 3', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.069782896
('108105 4', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.70162342
('108106 5', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.660224501
('108107 6', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	660.2585169
('108108 7', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	865.3079417
('108109 8', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	738.889898
('108110 9', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	851.1600892
('108111 10', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	649.3659957
