	('measuredProteinValue 0',)
('108112 11', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	604.6758384
('108113 12', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	92.5396947
('108114 13', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	101.9137308
('108115 14', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	94.20950222
('108116 15', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	99.98748863
('108117 16', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	92.39404554
('108118 17', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	102.092629
('108119 18', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	120.9862855
('108120 19', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	123.3402281
('108121 20', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	122.5042033
('108122 21', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	118.7776977
('108123 22', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	122.3942781
('108124 23', 'clName: 184B5', 'clCenterSpecificID: 50576', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	143.0707934
('108125 24', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.458733866
('108126 25', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	4.027461807
('108127 26', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.898768857
('108128 27', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	7.028567231
('108129 28', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	3.164968901
('108130 29', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	3.674326215
('108131 30', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	1446.300953
('108132 31', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	1625.073851
('108133 32', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	1358.275391
('108134 33', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	838.7840325
('108135 34', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	1455.210605
('108136 35', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	1461.106603
('108137 36', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	324.4177639
('108138 37', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	335.4074962
('108139 38', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	300.5938419
('108140 39', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	345.6897908
('108141 40', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	304.4712549
('108142 41', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	323.3675396
('108143 42', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	100.6990069
('108144 43', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	144.2351564
('108145 44', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	138.2825343
('108146 45', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	124.6669715
('108147 46', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	176.1419179
('108148 47', 'clName: AU565', 'clCenterSpecificID: 50091', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	286.0801683
('108149 48', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.008728258
('108150 49', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.993161851
('108151 50', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.444919028
('108152 51', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	4.29675614
('108153 52', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.988962681
('108154 53', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	4.380687202
('108155 54', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	225.2643081
('108156 55', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	972.4261918
('108157 56', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	376.3009944
('108158 57', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	1235.564578
('108159 58', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	404.0749067
('108160 59', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	507.506015
('108161 60', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	135.151204
('108162 61', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	132.6461462
('108163 62', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	130.6959227
('108164 63', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	143.8805593
('108165 64', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	130.5381119
('108166 65', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	145.5125345
('108167 66', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	153.4016402
('108168 67', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	164.6000222
('108169 68', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	131.3573232
('108170 69', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	98.58038006
('108171 70', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	137.4158112
('108172 71', 'clName: BT-20', 'clCenterSpecificID: 50105', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	167.0414772
('108173 72', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.166983834
('108174 73', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.777512951
('108175 74', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.366866617
('108176 75', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	5.219431222
('108177 76', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	8.495359948
('108178 77', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.711854508
('108179 78', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	279.9014037
('108180 79', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	310.1450403
('108181 80', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	280.294628
('108182 81', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	296.6050181
('108183 82', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	255.5099799
('108184 83', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	262.1100836
('108185 84', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	139.3660059
('108186 85', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	135.034537
('108187 86', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	124.0729137
('108188 87', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	128.8060028
('108189 88', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	174.8736407
('108190 89', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	126.3572906
('108191 90', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	68.39414331
('108192 91', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	71.6739685
('108193 92', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	65.65865317
('108194 93', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	72.25153425
('108195 94', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	74.03161493
('108196 95', 'clName: BT-474', 'clCenterSpecificID: 50106', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	65.99771919
('108197 96', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.422257307
('108198 97', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.219672216
('108199 98', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.600830604
('108200 99', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	3.046262522
('108201 100', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.227811755
('108202 101', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.132964879
('108203 102', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	478.9831251
('108204 103', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	699.4011639
('108205 104', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	670.9079341
('108206 105', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	518.1143844
('108207 106', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	462.028302
('108208 107', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	473.3745203
('108209 108', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	276.2081138
('108210 109', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	281.8221116
('108211 110', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	297.6225751
('108212 111', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	301.4407362
('108213 112', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	334.9352834
('108214 113', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	355.9832393
('108215 114', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	87.20389865
('108216 115', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	85.78509366
('108217 116', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	96.94219874
('108218 117', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-1 alpha', 'ppLincsID: 200865.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	91.5444328
